Id,X,Y,WGS84 Web Mercator (Auxiliary Sphere) Coordinates,GPS (WGS84) (deg)  Coordinates,Latitude,Longitude,GPS Coordinates (Google Maps),Name,Address,County,EirCode,Telephone,Fax,email,Heritage Ireland Webpage,Website,"Opening Hours",Admission Charges,Facilities,Image URL,Site Type,Region,2015 Visitor Numbers
80,-717638,7112584,"-717638, 7112584","53.694897571998105°N, -6.446651838649651°E",53.69489757,-6.446651839,"53.694897571998105, -6.446651838649651",Bru na Boinne Visitor Centre Newgrange and Knowth,Donore,Co. Meath,A92 EH5C,+353 41 988 0300,+353 41 982 3071,brunaboinne@opw.ie,www.heritageireland.ie/en/brunaboinnevisitorcentre/,,"Newgrange is open all year round except for 24, 25, 26 and 27 Dec.
Knowth is open from 25 Mar to 2 Nov.

Last admission to the Visitor Centre is 45 minutes before closing.

Average Length of Visit:
A Exhibition: 1 hour.
B Exhibition and Newgrange: 2 hours.
C Exhibition and Knowth: 2 hours.
D Exhibition and Newgrange and Knowth: 3 hours.","A Adult: EUR 4.00
Sen/Group: EUR 3.00
Child/Student: EUR 3.00
Family: EUR 10.00

B Adult: EUR 7.00
Sen/Group: EUR 6.00
Child/Student EUR 4.00
Family: EUR 16.00

C Adult: EUR 6.00
Sen/Group: EUR 4.00
Child/Student: EUR 4.00
Family: EUR 14.00

D Adult: EUR 12.00
Sen/Group: EUR 9.00
Child/Student: EUR 7.00
Family: EUR 30.00

Debit and Credit Cards accepted.","Car / Bus park, minibus shuttle service to Newgrange and Knowth, viewing areas. Centre fully accessible to visitors with disabilities - including toilet facilities. Tourist information point. Picnic area.

Restaurant/Tearooms: Tearooms seating capacity 110.",http://www.heritageireland.ie/en/media/BrnaBoinne.jpg,Heritage Site,Midlands & East Coast,"263,887"
34,-882435,6868144,"-882435, 6868144","52.37460318598322°N, -7.927048477420099°E",52.37460319,-7.927048477,"52.37460318598322, -7.927048477420099",Cahir Castle,"Castle St., Cahir",Co. Tipperary,E21 P652,+353 52 744 1011,+353 52 744 2324,cahircastle@opw.ie,www.heritageireland.ie/en/South-East/CahirCastle/,,"Open all year round:

Mid Oct - Feb: Daily 09:30-16:30
Mar - Mid Jun: Daily 09:30-17:30
Mid Jun - Aug: Daily 09:00-18:30
Sep - Mid Oct: Daily 09:30-17:30

Closed at Christmas from the 24 to the 30 December inclusive.

Average Length of Visit: 1 - 1.5 hours","Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00
Please note there are no credit and debit card facilities at this site.","Exhibition, Toilets, Public Car/Coach park close to site.

Restaurants/Tearooms: None",http://www.heritageireland.ie/en/media/CahirCastle.jpg,Heritage Site,South-East,"68,532"
1,-948410,7217787,"-948410, 7217787","54.25073897832531°N, -8.519711986117953°E",54.25073898,-8.519711986,"54.25073897832531, -8.519711986117953",Carrowmore Megalithic Cemetery,Carrowmore,Co. Sligo,,+353 71 916 1534,+353 71 915 4743,carrowmoretomb@opw.ie,www.heritageireland.ie/en/North-West/CarrowmoreMegalithicCemetery/,,"24 Mar - 12 Oct 2016
Daily 10:00 - 18:00

Last admission at 17:00.

Average length of visit: 1.5 hours","Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00","Exhibition, A.V. , toilets, carpark, tearoom - all accessible to people with disabilities.

Tearooms: None",http://www.heritageireland.ie/en/media/CarrowmoreMegalithicCemetery.jpg,Heritage Site,North-West,"37,566"
59,-693187,7051981,"-693187, 7051981","53.371327442436915°N, -6.227004768529588°E",53.37132744,-6.227004769,"53.371327442436915, -6.227004768529588",Casino Marino,"Casino Park, Malahide Road",Dublin 3,D03 HH70,+353 1 833 1618,+353 1 833 2636,casinomarino@opw.ie,www.heritageireland.ie/en/Dublin/CasinoMarino/,www.facebook.com/casinomarinodublin,"Open 16 Mar - 31 Oct 2016

10:00 - 17:00 Mar - May & Oct incl.
10:00 - 18:00 Jun - Sep incl.

Last admission 45 mins before closing

Public tours on the hour from 10:00, 11:00, etc.
Private bookings on the half hour.","Adult: EUR 7.00 
Sen/Group: EUR 5.00 
Child/Student: EUR 3.00 
Family: EUR 12.00 
OPW, English and Friends of Manx Heritage Cards + Dublin Pass accepted. 

Free admission for Primary or Second Level pupils, as well as pupils attending special needs schools or special needs classes. For terms and conditions see our Home page under Free Educational Visits for Schools Scheme.","Toilets and car/coach park.
(Free parking)",http://www.heritageireland.ie/en/media/CasinoMarino.jpg,Heritage Site,Dublin,"18,141"
81,-726983,7047856,"-726983, 7047856","53.34921340609076°N, -6.530599401950621°E",53.34921341,-6.530599402,"53.34921340609076, -6.530599401950621",Castletown House and Parklands,Celbridge,Co. Kildare,W23 V9H3,+353 1 628 8252,+353 1 627 1811,castletown@opw.ie,www.heritageireland.ie/en/midlandseastcoast/Castletown/,www.castletown.ie,"Open 12 Mar - 31 Oct daily, 10:00-18:00 with Berkeley Collection of 18th century Costumes.

Last admission for tours: 17:00

Public Tours - Monday to Saturday at 10:15, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00 and 17:00 and Sunday at 10.15, 11:00 and 17:00. 
Self Guide option on Sunday between 12:00 and 17:00 , download the FREE audio guide at www.castletown.ie .

Castletown can close at very short notice for Government business. Tours may have limited access if an event or private function is running in the house. 

Average length of visit: 1 hour.

Parklands - open daily, free admission. 

Batty Langley Gate - 
Pedestrian Access 06:30 - 19:00
Celbridge Avenue Gate - Pedestrian Access 06:45 - 19.15
M4 Gate - 
Vehicle Access 07.00 - 19:30","Adult: EUR 10.00 -Guided
              EUR 8.00 -Self-Guided 
Senior Citizen/Group: 
                 EUR 8.00 -Guided
                 EUR 5.00 -Self-Guided 
Students/Children: 
                 EUR 5.00 -Guided
                 EUR 3.50 -Self-Guided 
Family: EUR 25.00 -Guided
                EUR 15.00 -Self-Guided 
","Toilets, toilet for visitors with disabilities, car parking, locker room for large bags.

There is presently no wheelchair access to museum rooms at Castletown House.

The Courtyard Cafe - Open daily to the 31st of October 10am - 5pm, email castletown@thecaterers.ie , Tel: 01 6279498",http://www.heritageireland.ie/en/media/Castletown.jpg,Heritage Site,Midlands & East Coast,"297,691"
17,-1052818,7228544,"-1052818, 7228544","54.30715642004456°N, -9.457625007961465°E",54.30715642,-9.457625008,"54.30715642004456, -9.457625007961465",Ceide Fields,Ballycastle,Co. Mayo,F26 PF66,+353 96 43 325,+353 96 43 261,ceidefields@opw.ie,www.heritageireland.ie/en/West/CeideFields/,,"24 Mar - End May 2016: 
Daily 10:00- 17:00
June - End Sep 2016 : 
Daily 10:00 - 18:00
1 Oct - 2 Nov 2016 : 
Daily 10:00 - 17:00
Last tour 1 hour before closing.

Winter months - available for group bookings.

Average length of visit: 2 hours","Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00","Parking, access to A.V. and ground floor exhibits, toilets for people with disabilities. 

Restaurant/Tearooms: Yes - Seating: 75",http://www.heritageireland.ie/en/media/CideFields.jpg,Heritage Site,West,"32,821"
19,-946093,6745440,"-946093, 6745440","51.69653507090724°N, -8.498898020984905°E",51.69653507,-8.498898021,"51.69653507090724, -8.498898020984905",Charles Fort,"SummerCove, Kinsale",Co. Cork,P17 AY18,+353 021 477 2263,+353 21 477 4347,charlesfort@opw.ie,www.heritageireland.ie/en/South-West/CharlesFort/,,"Open All Year

Nov - Mid Mar:  Daily 10:00 - 17:00
Mid Mar - Oct:               10:00 - 18:00.

Last admission: 1 hour before closing

Average Length of Visit: 1 Hour","Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00","Exhibition Centre; toilets, toilets for visitors with disabilities.

Charles Fort is a venue for Civil /Humanist Wedding Ceremonies.

Restaurant/Tearooms:  
Mid-March , April & October - Sat & Sun 10:00 - 18:00
May, June, July & September - Daily 10:00 - 18:00
Seating Capacity: 50",http://www.heritageireland.ie/en/media/CharlesFort.jpg,Heritage Site,South-West,"86,849"
82,-889114,7043516,"-889114, 7043516","53.3259343690607°N, -7.987046955246442°E",53.32593437,-7.987046955,"53.3259343690607, -7.987046955246442",Clonmacnoise,"Shannonbridge, Athlone",Co. Offaly,N37 V292,+353 90 967 4195,+353 90 967 4273,clonmacnoise@opw.ie,www.heritageireland.ie/en/midlandseastcoast/Clonmacnoise/,,"Open all Year
Nov - Mid Mar: Daily 10:00 - 17:30.
Mid Mar - May: Daily 10:00 - 18:00.
Jun - Aug:            Daily 09:00 - 18.30.
Sep - Oct:            Daily 10:00 - 18:00.
Closed 25 & 26 Dec.

Last admission 45 mins before closing.

Average Length of Visit: 1.5 hours","Adult: EUR 8.00 
Group/Senior: EUR 6.00 
Child/Student: EUR 4.00 
Family: EUR 20.00 
Credit/Debit Cards are both accepted. 

All groups must be pre-booked.","Exhibitions, toilets (including toilet for visitors with disabilities), car and coach park.

Restaurant/Tea Rooms: Tea Room - Capacity: 30 - 40.",http://www.heritageireland.ie/en/media/Clonmacnoise.jpg,Heritage Site,Midlands & East Coast,"157,660"
11,-1107033,7085635,"-1107033, 7085635","53.55131735507262°N, -9.944646639246862°E",53.55131736,-9.944646639,"53.55131735507262, -9.944646639246862",Connemara National Park,Letterfrack,Co. Galway,H91 K2Y1,"+353 95 41 054
+353 95 41 323
+353 95 60 900",+353 95 60 912,Siobhan.Geoghegan@environ.ie,www.heritageireland.ie/en/West/ConnemaraNationalPark/,www.connemaranationalpark.ie,"The Park is open all year round.

Visitor Centre: 
Mar - May    Daily 10:00 - 17:30  
Jun - Aug      Daily 09:30 - 18:30
Sep - Oct      Daily 10:00 - 17:30

Average Length of Visit: 2 - 3 hours.",Free,"Exhibitions, Toilets, disabled toilet, car/coach park. 

Indoor and outdoor picnic areas, self-guiding trails. 

Pathway to summit of Diamond Hill (445m), duration approx 2-3 hours.

Restaurant/Tearooms: Coffee Shop and light lunches.",http://www.heritageireland.ie/en/media/ConnemaraNationalPark.jpg,Heritage Site,West,#N/A
12,-984013,7000046,"-984013, 7000046","53.09206692472891°N, -8.839539176723028°E",53.09206692,-8.839539177,"53.09206692472891, -8.839539176723028",Coole Park,Gort,Co. Galway,H91 MF5Y,+353 91 63 18 04,+353 91 63 16 53,info@coolepark.ie,www.heritageireland.ie/en/West/CoolePark/,www.coolepark.ie,"Park is open all year round.

Barrier closes:    
Winter - 18:00.     Summer - 19:30.

Visitor Centre:
Open Easter-Jun & Sep: 
                     Daily 10:00-17:00
Jul & Aug: Daily 10:00 - 18:00

Last admission to centre 15 minutes before closing.  Last admission to presentations 1 hour before closing.

Average Length of Visit: 1 - 2 hours.",Free,"Car/coach park, toilets, including toilets for visitors with disabilities, self-guiding trails, picnic tables in the garden, multi-media presentations, small selection of relevant books, leaflets and postcards.

Restaurant/Tearooms: Coffee shop, hot lunches and home baking.",http://www.heritageireland.ie/en/media/Coole.jpg,Heritage Site,West,#N/A
83,-873273.94,7097072.98,"-873273.94, 7097072.98","53.61231682936314°N, -7.844753265380859°E",53.61231683,-7.844753265,"53.61231682936314, -7.844753265380859",Corlea Trackway Visitor Centre,Kenagh,Co. Longford,N39 XT18,+353 43 332 2386,+353 43 332 2442,ctrackwayvisitorcentre@opw.ie,www.heritageireland.ie/en/midlandseastcoast/CorleaTrackwayVisitorCentre/,,"5 May - 28 Sep 2016: Daily 10:00 - 18:00

Last admission 45 mins before closing

Average Length of Visit: 1.5 hours.",Free,"Exhibitions, toilets (including toilet for visitors with disabilities), car and coach park, picnic area.",http://www.heritageireland.ie/en/media/CorleaTrackwayVisitorCentre.jpg,Heritage Site,Midlands & East Coast,"5,331"
20,-1127506.86,6757406.15,"-1127506.86, 6757406.15","51.76311351518341°N, -10.128566481889266°E",51.76311352,10.128566481889266°,"51.76311351518341, 10.128566481889266°",Derrynane House,Caherdaniel,Co. Kerry,V22 FX65,+353 66 947 5113,+353 66 947 5432,derrynanehouse@opw.ie,www.heritageireland.ie/en/South-West/DerrynaneHouse/,,"17 Mar to 11 Dec 2016
17 Mar to 1 Apr:  
Wed -Sun & Bank Holidays 10:00-17:00 
2 Apr to 30 Sep:           Daily  10:30-18:00
1 Oct to 1 Nov:  
Wed-Sun & Bank Holidays  10:00-17:00
2 Nov to 11 Dec:
                   (Weekends only) 10:00-16:00

Last Admission 45 mins before closing

Average Length of Visit: 1 hour","Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00","Exhibitions, toilets, disabled toilet, car/coach park, self-guiding trail.

Restaurant/Tearooms: Coffee shop open from Easter weekend to end of September",http://www.heritageireland.ie/en/media/DerrynaneHouse.jpg,Heritage Site,South-West,"26,961"
21,-948977,6747357,"-948977, 6747357","51.707207660685896°N, -8.524805433778912°E",51.70720766,-8.524805434,"51.707207660685896, -8.524805433778912",Desmond Castle,"Cork St, Kinsale",Co. Cork,P17 TY09,+353 21 477 4855,,desmondcastle@opw.ie,www.heritageireland.ie/en/South-West/DesmondCastle/,,"24 Mar - 14 Sep 2016: Daily 10:00-18:00

Last Admission 45 mins before closing

Average Length of Visit: 45 minutes","Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00","Self guiding exhibition.

Restaurant/Tearooms: None",http://www.heritageireland.ie/en/media/DesmondCastle.jpg,Heritage Site,South-West,"9,493"
52,-1008608,6882005,"-1008608, 6882005","52.45055402077024°N, -9.060479820852223°E",52.45055402,-9.060479821,"52.45055402077024, -9.060479820852223",Desmond Hall,"The Square, Newcastle West",Co. Limerick,V42 YD76,+353 69 77 408,,desmondhall@opw.ie,www.heritageireland.ie/en/ShannonRegion/DesmondHall/,,"25 May - 7 Sep 2016: Daily 10:00 - 18:00

Last admission 45 mins before closing.

Average Length of Visit: 1 hour",Free,"Toilets (including toilet for disabled people), exhibition, parking close to site.

Restaurant/Tearooms: None",http://www.heritageireland.ie/en/media/DesmondHall.jpg,Heritage Site,Shannon,"11,150"
2,-902884,7295201,"-902884, 7295201","54.65503374993505°N, -8.1107449698697°E",54.65503375,-8.11074497,"54.65503374993505, -8.1107449698697",Donegal Castle,Donegal Town,Co. Donegal,F94 P996,+353 74 972 2405,+353 74 972 2436,donegalcastle@opw.ie,www.heritageireland.ie/en/North-West/DonegalCastle/,,"Easter - Mid Sep:        Daily 10:00 - 18:00
Mid Sep - Easter: Thu-Mon 09:30-16:30

Last admission: 45 mins before closing

Avg. Length of Visit: 45 mins - 1 hour","Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00","Exhibitions, public toilets

Restaurants/Tearooms: None",http://www.heritageireland.ie/en/media/donegalcastle.jpg,Heritage Site,North-West,"47,136"
22,-955463,6839338,"-955463, 6839338","52.2163431711257°N, -8.583070163106903°E",52.21634317,-8.583070163,"52.2163431711257, -8.583070163106903",Doneraile Wildlife Park,Doneraile,Co. Cork,P51 TH73,+353 87 251 5965,,,www.heritageireland.ie/en/South-West/DoneraileWildlifePark/,www.heritageireland.ie/en/South-West/DoneraileWildlifePark/,"2016
Summer:
Monday - Friday 08:00 - 20:00
Saturday - Sunday 09:00 - 20:00
Bank Holiday 09:00 - 20:00

Winter:
Monday - Friday 08:00 - 17:00
Saturday - Sunday 09:00 - 17:00
Bank Holidays 09:00 - 17:00

Average Length of Visit: 1 - 2 hours",Free,"Car park, Picnic areas, toilets.

Tearooms: 
Winter    10:00 - 16:00; 
Summer 09.30 - 19:00",http://www.heritageireland.ie/en/media/DoneraileWildlifePark.jpg,Heritage Site,South-West,#N/A
53,-996840.37,6971638.62,"-996840.37, 6971638.62","52.9385456963673°N, -8.954769372940063°E",52.9385457,-8.954769373,"52.9385456963673, -8.954769372940063",Dromore Wood,"Ruan, Ennis",Co. Clare,,+353 65 682 2711,,,www.heritageireland.ie/en/ShannonRegion/DromoreWood/,,"Open Daily  
Barrier closes:  
Summer 19.30  Winter 18.00
Visitor Centre:  
May: Wed - Sun  10.00 - 17.00
Jun - Aug: Daily  10:00 - 17:00

Average Length of Visit: 1 hour",Free,"Two nature trails, Picnic Tables, Car/Coach Park, Toilets, Partial wheelchair access.

Restaurant/Tearooms: None",http://www.heritageireland.ie/en/media/DromoreWood.jpg,Heritage Site,Shannon,#N/A
60,-697703,7046722,"-697703, 7046722","53.34313204526159°N, -6.267572686760425°E",53.34313205,-6.267572687,"53.34313204526159, -6.267572686760425",Dublin Castle,Dame Street,Dublin 2,D02 V240,+353 1 645 8813,+353 1 679 7831,dublincastle@opw.ie,www.heritageireland.ie/en/Dublin/DublinCastle/,www.dublincastle.ie,"Open all Year Round:
                      Mon - Sat: 09:45 - 16:45
Sun & Bank Holidays: 10:45 - 16:45
Closed: 25, 26 & 27 Dec & 1 Jan.
Last admission at 16.45

Average Length of Visit: 1 hour.

Admission is by guided tour. A self guiding option also available.  Information is available in 13 languages. Advanced booking is required for both Guided and Self-Guided Groups.

Please note that as Dublin Castle is a working Irish Government building, security, access to rooms and opening arrangements may be subject to change at short notice. Apologies for any inconvenience caused.","Guided Tour (1hr 5min) (State Apartments, Medieval Undercroft and Chapel Royal) 
Adult: EUR 10.00
Student/Senior (60+): EUR 8.00
Group: EUR 5.50
Children: EUR 4.00
Family: EUR 24.00

Self-Guide (State Apartments and Exhibitions) 
Adult: EUR 7.00
Student/Senior (60+): EUR 6.00
Group: EUR 5.50
Children: EUR 3.00
Family: EUR 17.00","Tea Rooms, Gift Shop, Toilets, Toilets for Visitors with disabilities.",http://www.heritageireland.ie/en/media/dublincastle1.jpg,Heritage Site,Dublin,"231,178"
13,-1087038,7006332,"-1087038, 7006332","53.125964405101335°N, -9.765028498187164°E",53.12596441,-9.765028498,"53.125964405101335, -9.765028498187164",Dun Aonghasa,Aran,Co. Galway,H91 YT20,+353 99 61 008,+353 99 61 009,dunaonghasa@opw.ie,www.heritageireland.ie/en/West/DunAonghasa/,,"Open all Year

Jan-Mar, Nov-Dec: 09:30-16:00 Daily
                    Apr-Oct:  09:30-18:00 Daily

Average Length of Visit: 1 - 1.5 Hours","Adult: EUR 5.00 
Sen/Group: EUR 4.00 
Child/Student: EUR 3.00 
Family: EUR 13.00 
Free admission when staying overnight on Inis Mor participating accommodation.",Restaurant/Tearooms: Yes,http://www.heritageireland.ie/en/media/DnAonghasa.jpg,Heritage Site,West,"120,104"
