Name,County,Admission Charges,Adult,Senior,Group,Child,Student,Family,Region,2015 Visitor Numbers
Muckross House and Gardens,Co. Kerry,"Muckross House & Gardens
Adult: EUR 9.00 
Group/Sen/Student: EUR 7.50
Child 3-5: Free
Child 6-18: EUR 6.00 
Family 
2 Adults + 2 Children: EUR 28.00 
2 Adults + 3 Children: EUR 32.00 

Joint Ticket for House, Gardens and Traditional Farms - 
Adult: EUR 15.00 
Group/Sen/Student: EUR 13.00 
Child 3-5: EUR 6.00
Child 6-18: EUR 10.50 
Family
2 Adults+2 Children: EUR 40.00 
2 Adults+3 Children: EUR 45.00 

PLEASE NOTE THAT THE HERITAGE CARD IS NOT ACCEPTED AT MUCKROSS TRADITIONAL FARMS",9,8,8,6,8,28,South-West,0
Muckross Traditional Farms,Co. Kerry,"Muckross Traditional Farms
Adult: EUR 9.00 
Group/Sen/Student: EUR 7.50
Child 3-18: EUR 6.00  
Family
2 Adults + 2 Children: EUR 28.00 
2 Adults + 3 Children: EUR 32.00 

Joint Ticket for House, Gardens and Traditional Farms - 
Adult: EUR 15.00 
Group/Sen/Student: EUR 13.00 
Child 3-5: EUR 6.00
Child 6-18: EUR 10.50 
Family
2 Adults+2 Children: EUR 40.00 
2 Adults+3 Children: EUR 45.00 

PLEASE NOTE - THIS SITE DOES NOT ACCEPT HERITAGE CARDS ",9,8,8,6,8,32,South-West,0
Muckross Friary (Abbey),Co. Kerry,Free,0,0,0,0,0,0,South-West,0
Ross Castle,Co. Kerry,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00",5,4,4,3,3,13,South-West,95785
Sceilg Mhichil (Great Skellig Rock [Skellig Michael]),Co. Kerry,"Free of Charge

Separate charge imposed by boat operator(s).",0,0,0,0,0,0,South-West,12560
Ionad an Bhlascaoid Mhoir (The Blasket Centre),Co. Kerry,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00",5,4,4,3,3,13,South-West,48261
Castletown House and Parklands,Co. Kildare,"Adult: EUR 10.00 -Guided
              EUR 8.00 -Self-Guided 
Senior Citizen/Group: 
                 EUR 8.00 -Guided
                 EUR 5.00 -Self-Guided 
Students/Children: 
                 EUR 5.00 -Guided
                 EUR 3.50 -Self-Guided 
Family: EUR 25.00 -Guided
                EUR 15.00 -Self-Guided 
",10,8,8,5,5,15,Midlands & East Coast,297691
Maynooth Castle,Co. Kildare,Free,0,0,0,0,0,0,Midlands & East Coast,21843
Dunmore Cave,Co. Kilkenny,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00",5,4,4,3,3,13,South-East,43767
Jerpoint Abbey,Co. Kilkenny,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00",5,4,4,3,3,13,South-East,23442
Kilkenny Castle,Co. Kilkenny,"Adult: EUR 8.00 
Senior/Group (20+): EUR 6.00 
Student/Child (over 6): EUR 4.00 
Family: EUR 20+S94.00 ",8,6,6,4,4,20,South-East,282588
St Marys Church,Co. Kilkenny,Free,0,0,0,0,0,0,South-East,2634
Emo Court,Co. Laois,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00",5,4,4,3,3,13,Midlands & East Coast,13244
Heywood Gardens,Co. Laois,Free,0,0,0,0,0,0,Midlands & East Coast,0
Parke's Castle,Co. Leitrim,"Adult: EUR 5.00 
Sen/Group: EUR 4.00 
Child/Student: EUR 3.00 
Family: EUR 13.00 ",5,4,4,3,3,13,North-West,16620
Adare Castle,Co. Limerick,"Adult: EUR 6.00
Child/Student/Senior EUR 5.00
Family: EUR 15.00",6,5,5,5,5,15,Shannon,0
Desmond Hall,Co. Limerick,Free,0,0,0,0,0,0,Shannon,11150
Corlea Trackway Visitor Centre,Co. Longford,Free,0,0,0,0,0,0,Midlands & East Coast,5331
Old Mellifont Abbey,Co. Louth,"Adult: EUR 5.00 
Sen/Group: EUR 4.00 
Child/Student: EUR 3.00 
Family: EUR 13.00 ",5,4,4,3,3,13,Midlands & East Coast,12493
Ceide Fields,Co. Mayo,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00",5,4,4,3,3,13,West,32821
Battle of the Boyne,Co. Meath,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00
Free admission to the grounds (battlesite walkways).",5,4,4,3,3,13,Midlands & East Coast,58053
Bru na Boinne Visitor Centre Newgrange and Knowth,Co. Meath,"A Adult: EUR 4.00
Sen/Group: EUR 3.00
Child/Student: EUR 3.00
Family: EUR 10.00

B Adult: EUR 7.00
Sen/Group: EUR 6.00
Child/Student EUR 4.00
Family: EUR 16.00

C Adult: EUR 6.00
Sen/Group: EUR 4.00
Child/Student: EUR 4.00
Family: EUR 14.00

D Adult: EUR 12.00
Sen/Group: EUR 9.00
Child/Student: EUR 7.00
Family: EUR 30.00

Debit and Credit Cards accepted.",12,9,9,7,7,30,Midlands & East Coast,263887
Hill of Tara,Co. Meath,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00",5,4,4,3,3,13,Midlands & East Coast,159686
Loughcrew,Co. Meath,Free,0,0,0,0,0,0,Midlands & East Coast,14416
Trim Castle,Co. Meath,"Including the Keep
Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00

Excluding the Keep
Adult: EUR 2.00
Sen/Group: EUR 1.00
Child/Student: EUR 1.00
Family: EUR 4.00",5,4,4,3,3,13,Midlands & East Coast,86972
Clonmacnoise,Co. Offaly,"Adult: EUR 8.00 
Group/Senior: EUR 6.00 
Child/Student: EUR 4.00 
Family: EUR 20.00 
Credit/Debit Cards are both accepted. 

All groups must be pre-booked.",8,6,6,4,4,20,Midlands & East Coast,157660
Boyle Abbey,Co. Roscommon,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00",5,4,4,3,3,13,West,6919
Carrowmore Megalithic Cemetery,Co. Sligo,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00",5,4,4,3,3,13,North-West,37566
Sligo Abbey,Co. Sligo,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00",5,4,4,3,3,13,North-West,15592
Cahir Castle,Co. Tipperary,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00
Please note there are no credit and debit card facilities at this site.",5,4,4,3,3,13,South-East,68532
Famine Warhouse,Co. Tipperary,Free,0,0,0,0,0,0,South-East,0
Ormond Castle,Co. Tipperary,"Adult: EUR 5.00 
Sen/Group: EUR 4.00 
Child/Student: EUR 3.00 
Family: EUR 13.00 ",5,4,4,3,3,13,South-East,0
Rock of Cashel,Co. Tipperary,"Adult: EUR 8.00 
Group/Senior: EUR 6.00 
Child/Student: EUR 4.00 
Family: EUR 20.00",8,6,6,4,4,20,South-East,300749
Roscrea Heritage Centre - Roscrea Castle and Damer House,Co. Tipperary,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00",5,4,4,3,3,13,Midlands & East Coast,25715
Swiss Cottage,Co. Tipperary,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00
Please note there are no credit and debit card facilities at this site.",5,4,4,3,3,13,South-East,24146
The Main Guard,Co. Tipperary,Free,0,0,0,0,0,0,South-East,7951
Dungarvan Castle,Co. Waterford,Free,0,0,0,0,0,0,South-East,17280
Reginalds Tower,Co. Waterford,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00",5,4,4,3,3,13,South-East,30818
"Reginald's Tower - Greyfriars, The French Church",Co. Waterford,,0,0,0,0,0,0,South-East,69057
Ballyhack Castle,Co. Wexford,Free,0,0,0,0,0,0,South-East,2613
Ferns Castle,Co. Wexford,Free,0,0,0,0,0,0,South-East,9440
The John F Kennedy Arboretum,Co. Wexford,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00",5,4,4,3,3,13,South-East,96910
The Wexford Wildfowl Reserve,Co. Wexford,Free,0,0,0,0,0,0,South-East,0
Tintern Abbey,Co. Wexford,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00",5,4,4,3,3,13,South-East,15227
Dwyer McAllister Cottage,Co. Wicklow,Free,0,0,0,0,0,0,Midlands & East Coast,0
Glendalough Visitor Centre,Co. Wicklow,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00",5,4,4,3,3,13,Midlands & East Coast,79182
Kilmacurragh Arboretum,Co. Wicklow,Free,0,0,0,0,0,0,Midlands & East Coast,67083
Wicklow Mountains National Park,Co. Wicklow,Free,0,0,0,0,0,0,Midlands & East Coast,150125
Aras an Uachtarain,Dublin,"Free admission tickets are issued at the Phoenix Park Visitor Centre only on the day, on a first-come, first-served basis. Group visits and/or advance bookings are not permitted.",0,0,0,0,0,0,Dublin,4343
Arbour Hill Cemetery,Dublin,Free,0,0,0,0,0,0,Dublin,0
Casino Marino,Dublin,"Adult: EUR 7.00 
Sen/Group: EUR 5.00 
Child/Student: EUR 3.00 
Family: EUR 12.00 
OPW, English and Friends of Manx Heritage Cards + Dublin Pass accepted. 

Free admission for Primary or Second Level pupils, as well as pupils attending special needs schools or special needs classes. For terms and conditions see our Home page under Free Educational Visits for Schools Scheme.",7,5,5,3,3,12,Dublin,18141
Dublin Castle,Dublin,"Guided Tour (1hr 5min) (State Apartments, Medieval Undercroft and Chapel Royal) 
Adult: EUR 10.00
Student/Senior (60+): EUR 8.00
Group: EUR 5.50
Children: EUR 4.00
Family: EUR 24.00

Self-Guide (State Apartments and Exhibitions) 
Adult: EUR 7.00
Student/Senior (60+): EUR 6.00
Group: EUR 5.50
Children: EUR 3.00
Family: EUR 17.00",10,8,6,4,8,24,Dublin,231178
Farmleigh House and Estate,Dublin,Free,0,0,0,0,0,0,Dublin,410076
Garden of Remembrance,Dublin,Free,0,0,0,0,0,0,Dublin,0
Government Buildings,Dublin,Free,0,0,0,0,0,0,Dublin,0
Grangegorman Military Cemetery,Dublin,Free,0,0,0,0,0,0,Dublin,0
Kilmainham Gaol,Dublin,"Online prices:
Adult: EUR 8.00
Senior: EUR 6.00
Child/Student: EUR 4.00
Family: EUR 20.00

Walk-in prices:
Adult: EUR 9.00
Senior: EUR 7.00
Child/Student: EUR 5.00
Family: EUR 23.00
Please note that these tickets are very limited and it is advisable to book your tickets in advance. 

Credit/Debit cards are both accepted.",9,7,9,5,5,23,Dublin,326635
Lusk Heritage Centre,Dublin,Free,0,0,0,0,0,0,Midlands & East Coast,0
National Botanic Gardens,Dublin,"Free admission.

Pre-booked Guided Tours - EUR 5.00, except for the free Sunday public tours. School tours are free of charge. Two public tours on weekdays: 11:30 and 15:00
 
Car parking charges:
First 15mins free
First hour EUR 1.00
Two hours EUR 2.00, 
then EUR 2.00 per hour",0,0,0,0,0,0,Dublin,553348
Pearse Museum - St Enda's Park,Dublin,Free,0,0,0,0,0,0,Dublin,35418
Peoples Flower Gardens,Dublin,Free,0,0,0,0,0,0,Dublin,0
Phoenix Park,Dublin,Free,0,0,0,0,0,0,Dublin,0
Phoenix Park Visitor Centre - Ashtown Castle,Dublin,Free,0,0,0,0,0,0,Dublin,141582
Rathfarnham Castle,Dublin,"Adult: EUR 8.00
Sen/Group: EUR 6.00
Child/Student: EUR 4.00
Family: EUR 20.00",8,6,6,4,4,20,Dublin,3737
Royal Hospital Kilmainham,Dublin,Free,0,0,0,0,0,0,Dublin,0
St Audoen's Church,Dublin,Free,0,0,0,0,0,0,Dublin,33092
St Marys Abbey Dublin,Dublin,Free,0,0,0,0,0,0,Dublin,0
St Stephens Green,Dublin,Free,0,0,0,0,0,0,Dublin,0
The Croppies Acre,Dublin,Free,0,0,0,0,0,0,Dublin,0
The Iveagh Gardens,Dublin,Free,0,0,0,0,0,0,Dublin,0
War Memorial Gardens,Dublin,Free,0,0,0,0,0,0,Dublin,0
